movie_title;score;num_votes;num_reviews;link
The Shawshank Redemption;9.3;1689764;4144.0;http://www.imdb.com/title/tt0111161/
The Dark Knight;9.0;1676169;4667.0;http://www.imdb.com/title/tt0468569/
Inception;8.8;1468200;2803.0;http://www.imdb.com/title/tt1375666/
Fight Club;8.8;1347461;2968.0;http://www.imdb.com/title/tt0137523/
Pulp Fiction;8.9;1324680;2195.0;http://www.imdb.com/title/tt0110912/
Forrest Gump;8.8;1251222;1398.0;http://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Fellowship of the Ring;8.8;1238746;5060.0;http://www.imdb.com/title/tt0120737/
The Matrix;8.7;1217752;3646.0;http://www.imdb.com/title/tt0133093/
The Lord of the Rings: The Return of the King;8.9;1215718;3189.0;http://www.imdb.com/title/tt0167260/
The Godfather;9.2;1155770;2238.0;http://www.imdb.com/title/tt0068646/
The Dark Knight Rises;8.5;1144337;2701.0;http://www.imdb.com/title/tt1345836/
The Lord of the Rings: The Two Towers;8.7;1100446;2417.0;http://www.imdb.com/title/tt0167261/
Se7en;8.6;1023511;1080.0;http://www.imdb.com/title/tt0114369/
The Avengers;8.1;995415;1722.0;http://www.imdb.com/title/tt0848228/
Gladiator;8.5;982637;2368.0;http://www.imdb.com/title/tt0172495/
Batman Begins;8.3;980946;2685.0;http://www.imdb.com/title/tt0372784/
Django Unchained;8.5;955174;1193.0;http://www.imdb.com/title/tt1853728/
Interstellar;8.6;928227;2725.0;http://www.imdb.com/title/tt0816692/
Star Wars: Episode IV - A New Hope;8.7;911097;1470.0;http://www.imdb.com/title/tt0076759/
The Silence of the Lambs;8.6;887467;916.0;http://www.imdb.com/title/tt0102926/
Avatar;7.9;886204;3054.0;http://www.imdb.com/title/tt0499549/
Inglourious Basterds;8.3;885175;1527.0;http://www.imdb.com/title/tt0361748/
Saving Private Ryan;8.6;881236;2277.0;http://www.imdb.com/title/tt0120815/
The Departed;8.5;873649;2054.0;http://www.imdb.com/title/tt0407887/
Schindler's List;8.9;865020;1273.0;http://www.imdb.com/title/tt0108052/
Memento;8.5;845580;2067.0;http://www.imdb.com/title/tt0209144/
The Prestige;8.5;844052;1100.0;http://www.imdb.com/title/tt0482571/
Star Wars: Episode V - The Empire Strikes Back;8.8;837759;900.0;http://www.imdb.com/title/tt0080684/
American Beauty;8.4;822500;2715.0;http://www.imdb.com/title/tt0169547/
Pirates of the Caribbean: The Curse of the Black Pearl;8.1;809474;2113.0;http://www.imdb.com/title/tt0325980/
Titanic;7.7;793059;2528.0;http://www.imdb.com/title/tt0120338/
V for Vendetta;8.2;791783;2042.0;http://www.imdb.com/title/tt0434409/
The Godfather: Part II;9.0;790926;650.0;http://www.imdb.com/title/tt0071562/
